layer_name;ctt_cms_contract_number;ctt_vin;ctt_asset_type_segment;entity_name;reporting_date;anomaly_description;anomaly_flag
History;aad52ace1xyd52ace172z;a8c05f350xyc05f35022z;VA;XY50;2020-04-30;No anomaly detected for VIN;0
History;a79fd0681xy9fd068139z;a977f605exy77f605e6fz;PC;XY50;2022-04-30;No anomaly detected for VIN;0
History;ae447a8cdxy447a8cde6z;a4077c6c7xy077c6c74bz;PC;XY50;2019-09-30;No anomaly detected for VIN;0
History;a2216b858xy216b85861z;afb34a9acxyb34a9acb1z;PC;XY50;2025-05-31;No anomaly detected for VIN;0
History;a9b29c4f6xyb29c4f69ez;a6b347111xyb3471118fz;PC;XY50;2025-07-31;No anomaly detected for VIN;0
History;aea202a5exya202a5e2ez;acaccd4b8xyaccd4b8a3z;PC;XY50;2017-09-30;No anomaly detected for VIN;0
History;aa8c97ecaxy8c97eca1dz;a0efe6e72xyefe6e72d1z;VA;XY50;2022-04-30;No anomaly detected for VIN;0
History;ae6687e2bxy6687e2b07z;a7782d431xy782d43136z;PC;XY50;2018-01-31;No anomaly detected for VIN;0
History;aa9e806baxy9e806badaz;ac6090664xy6090664a3z;PC;XY50;2017-12-31;No anomaly detected for VIN;0
History;a6a4090a7xya4090a7e3z;a83a093a4xy3a093a439z;PC;XY50;2023-09-30;No anomaly detected for VIN;0
History;ae3a89efdxy3a89efd06z;a439d8b63xy39d8b636dz;CV;XY50;2017-08-31;No anomaly detected for VIN;0
History;ad39a08ecxy39a08ec03z;acc496fa0xyc496fa0fez;PC;XY50;2017-02-28;No anomaly detected for VIN;0
History;a6ea09433xyea0943310z;;VA;XY50;2015-06-30;No anomaly detected for VIN;0
History;aabe2bd44xybe2bd4401z;afd046dd1xyd046dd11ez;PC;XY50;2017-10-31;No anomaly detected for VIN;0
Standard;afc2880ebxyc2880eb1dz;aac2eef2exyc2eef2e17z;VA;XY50;2025-07-31;No anomaly detected for VIN;0
History;a139fe689xy39fe6893dz;a70d900fexy0d900feebz;CV;XY50;2017-02-28;No anomaly detected for VIN;0
History;a0bbe4b5bxybbe4b5b96z;a1505568bxy505568bc5z;PC;XY50;2025-07-31;No anomaly detected for VIN;0
