layer_name;ctt_cms_contract_number;ctt_vin;ctt_asset_type_segment;entity_name;reporting_date;anomaly_description;anomaly_flag
History;afd13abf2xyd13abf228z;ac09ae2d9xy09ae2d929z;PC;5;2020-10-31;No anomaly detected for VIN;0
History;aad856b7bxyd856b7b60z;ac6048ac8xy6048ac8f8z;PC;61;2020-10-31;No anomaly detected for VIN;0
History;aec818670xyc81867028z;a3e03dcd0xye03dcd051z;PC;47;2024-12-31;No anomaly detected for VIN;0
History;a3a4f80b3xya4f80b3f8z;a044ee52dxy44ee52d82z;PC;47;2022-10-31;No anomaly detected for VIN;0
History;a4205866bxy205866bc2z;a6f2e3979xyf2e397986z;PC;47;2023-01-31;No anomaly detected for VIN;0
History;a6798dcb6xy798dcb6b2z;ac241f65dxy241f65ddcz;PC;58;2023-01-31;No anomaly detected for VIN;0
History;af20bc41fxy20bc41f9az;ac2f9114fxy2f9114f8az;PC;61;2020-10-31;No anomaly detected for VIN;0
History;a0157fb5fxy157fb5f58z;acb3fc59cxyb3fc59ce9z;VA;7;2020-10-31;No anomaly detected for VIN;0
History;a735cee58xy35cee58e7z;aa4980416xy498041664z;PC;47;2022-09-30;No anomaly detected for VIN;0
History;a6816f87axy816f87a75z;a1f81a24axyf81a24a7az;PC;47;2025-06-30;No anomaly detected for VIN;0
History;a937a1106xy37a1106c2z;a6dfdde20xydfdde2073z;PC;47;2022-12-31;No anomaly detected for VIN;0
History;ae3741406xy374140690z;ad796a6a7xy796a6a75cz;VA;47;2022-09-30;No anomaly detected for VIN;0
History;a16b62152xy6b62152cbz;a6368a589xy368a589d6z;VA;47;2022-09-30;No anomaly detected for VIN;0
History;aa9dc6bb0xy9dc6bb0b7z;aa0491a69xy0491a69a7z;VA;98;2024-10-31;No anomaly detected for VIN;0
History;ac1a1dc51xy1a1dc5156z;a6fb9444exyfb9444e65z;VA;98;2024-12-31;No anomaly detected for VIN;0
History;a2768788exy768788e71z;a66cc9294xy6cc9294c0z;PC;98;2024-12-31;No anomaly detected for VIN;0
History;ae16adeeaxy16adeea03z;a642a47e9xy42a47e94ez;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ae7572958xy75729584fz;a57af680axy7af680a93z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a0768e5b1xy768e5b182z;ad54e35b3xy54e35b3cdz;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a05005beexy5005bee2az;a33fefea8xy3fefea898z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;ace663d78xye663d78e1z;a1fc21c19xyfc21c19cfz;PC;98;2025-01-31;No anomaly detected for VIN;0
History;ae13bf226xy13bf226ebz;a661dfaadxy61dfaaddez;VA;98;2024-12-31;No anomaly detected for VIN;0
History;a1bcfcad6xybcfcad674z;aa99cfeddxy99cfedd86z;CV;58;2017-01-31;No anomaly detected for VIN;0
History;a968170a5xy68170a5e1z;;PC;14;2014-09-30;No anomaly detected for VIN;0
History;a835bb5f5xy35bb5f5eez;;PC;23;2014-10-31;No anomaly detected for VIN;0
History;ad9dbfbf8xy9dbfbf809z;a5955642exy955642eebz;PC;98;2024-10-31;No anomaly detected for VIN;0
History;ab1fbf42dxy1fbf42dcfz;a7e17665exye17665eedz;PC;98;2024-12-31;No anomaly detected for VIN;0
History;a7776698dxy776698d30z;a806ff11exy06ff11ed7z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a02fb6da4xy2fb6da42dz;af7c32b06xy7c32b06dfz;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a9a519563xya5195635bz;;PC;14;2015-02-28;No anomaly detected for VIN;0
History;afa98e2c8xya98e2c856z;a315953e5xy15953e5b0z;VA;98;2024-11-30;No anomaly detected for VIN;0
History;ab263e750xy263e75051z;a0c599cb3xyc599cb3a8z;PC;98;2024-11-30;No anomaly detected for VIN;0
History;abde62df6xyde62df69az;a0ee6cfc5xyee6cfc5fez;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a3fffbf3fxyfffbf3fc8z;a76677c66xy6677c66f9z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a65aa5911xy5aa591145z;a8c4fcd45xyc4fcd45e2z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;ac5bbcd5exy5bbcd5efdz;a13b08c11xy3b08c11e7z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a1865e24dxy865e24d74z;;PC;14;2014-10-31;No anomaly detected for VIN;0
History;a663dfefbxy63dfefbedz;a181b9781xy81b97816ez;PC;98;2024-11-30;No anomaly detected for VIN;0
History;aed6349f5xyd6349f5b2z;a3d5b9749xyd5b97496cz;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a1d8535adxyd8535ad5bz;ab5ae1632xy5ae16320ez;PC;98;2024-12-31;No anomaly detected for VIN;0
History;ab345e7a4xy345e7a406z;ae8c8fbb7xy8c8fbb7d8z;VA;98;2024-12-31;No anomaly detected for VIN;0
History;a096f6151xy96f615105z;a5f66377fxyf66377fbez;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a245e1d2fxy45e1d2f3ez;a7451dd74xy451dd74d1z;CV;58;2017-02-28;No anomaly detected for VIN;0
History;a33e1b2fdxy3e1b2fd49z;;PC;14;2014-12-31;No anomaly detected for VIN;0
History;a35158abcxy5158abc6dz;aa4f84f5dxy4f84f5d82z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;ae4c80e44xy4c80e4438z;;PC;14;2014-10-31;No anomaly detected for VIN;0
History;ad8c7df70xy8c7df7082z;a6e322e30xye322e30a6z;VA;98;2024-10-31;No anomaly detected for VIN;0
History;a824f5b15xy24f5b153bz;a59b0c948xy9b0c948ffz;VA;98;2024-11-30;No anomaly detected for VIN;0
History;a48257a28xy8257a283az;ae033a678xy033a67830z;VA;98;2024-11-30;No anomaly detected for VIN;0
History;a30f58048xy0f580488az;aaf942239xyf9422399ez;PC;98;2024-11-30;No anomaly detected for VIN;0
History;a892fb99axy92fb99a9fz;a0dcef2d6xydcef2d6d4z;PC;98;2024-11-30;No anomaly detected for VIN;0
History;aa3893cedxy3893cedadz;ae04e4fddxy04e4fdd8ez;CV;58;2017-01-31;No anomaly detected for VIN;0
History;ab511ef55xy511ef5590z;a9f9b17c4xyf9b17c4b3z;VA;58;2017-01-31;No anomaly detected for VIN;0
History;a7eb42280xyeb42280b4z;a7d3995b0xyd3995b014z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a15046fd5xy5046fd563z;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;a7f8eeb07xyf8eeb07baz;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;ac9f54b90xy9f54b9046z;a55a987efxy5a987ef0cz;VA;61;2021-01-31;No anomaly detected for VIN;0
History;a590134c8xy90134c891z;a13e0c4acxy3e0c4ac60z;PC;5;2020-09-30;No anomaly detected for VIN;0
History;addbfb6ecxydbfb6ec9fz;a7fb363b8xyfb363b83dz;PC;61;2020-10-31;No anomaly detected for VIN;0
History;ad0a54d7bxy0a54d7b91z;afce1bd3cxyce1bd3c03z;PC;5;2020-09-30;No anomaly detected for VIN;0
History;af6fe7a99xy6fe7a9911z;a6ddd611cxyddd611c85z;VA;47;2025-04-30;No anomaly detected for VIN;0
History;a4deff977xydeff977aaz;ac457c120xy457c1209az;VA;47;2023-02-28;No anomaly detected for VIN;0
History;a7b2f7435xyb2f743518z;a9da060daxyda060daedz;PC;47;2023-02-28;No anomaly detected for VIN;0
History;a038bb265xy38bb2658dz;a9e01ecf1xye01ecf1f9z;VA;58;2023-02-28;No anomaly detected for VIN;0
History;a4587b2dfxy587b2dfd6z;a27c10293xy7c1029333z;PC;61;2020-10-31;No anomaly detected for VIN;0
History;a58013222xy801322288z;a6dfb4d13xydfb4d13c7z;PC;47;2025-04-30;No anomaly detected for VIN;0
History;a7233814cxy233814c78z;ab3ce7d2bxy3ce7d2b2cz;PC;58;2023-02-28;No anomaly detected for VIN;0
History;a25391a31xy5391a31b7z;afec27635xyec2763559z;PC;19;2021-07-31;No anomaly detected for VIN;0
History;ac7453979xy74539790dz;a22cc413exy2cc413edfz;PC;61;2020-08-31;No anomaly detected for VIN;0
History;a00273966xy0273966dfz;a34773238xy47732388cz;PC;47;2022-11-30;No anomaly detected for VIN;0
History;a58ad3729xy8ad3729b1z;aaa4fce08xya4fce08bcz;PC;47;2023-02-28;No anomaly detected for VIN;0
History;a8b234583xyb234583dbz;a8aa65b62xyaa65b6272z;PC;98;2024-11-30;No anomaly detected for VIN;0
History;adeeb1025xyeeb1025f0z;a5bfca879xybfca879efz;PC;98;2024-11-30;No anomaly detected for VIN;0
History;a75aee944xy5aee944efz;aa0491a69xy0491a69a7z;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a7c284c72xyc284c72cdz;a365e8212xy65e8212c5z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;ad7141226xy714122621z;a3dcb72bexydcb72be39z;VA;98;2024-10-31;No anomaly detected for VIN;0
History;a0a188447xya188447a7z;acdb22468xydb2246861z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;abc14fcafxyc14fcaf11z;a1367d30cxy367d30c81z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a29a8fa38xy9a8fa3800z;ae0482221xy048222126z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a80597212xy059721208z;a6f8a80faxyf8a80fa86z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;ae0eaae49xy0eaae499cz;a3af1d191xyaf1d19118z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ad3b3440axy3b3440a36z;a7480ce34xy480ce3488z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;af67f46e9xy67f46e9e6z;;PC;14;2015-02-28;No anomaly detected for VIN;0
History;a2e25cf5bxye25cf5beaz;;PC;14;2014-11-30;No anomaly detected for VIN;0
History;a70fb5033xy0fb50338fz;a4a33f9e8xya33f9e817z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;adde16ee2xyde16ee2dfz;ac6283441xy6283441aaz;VA;98;2024-10-31;No anomaly detected for VIN;0
History;a827620edxy27620ed8cz;ae8c8fbb7xy8c8fbb7d8z;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a8f1faa55xyf1faa555fz;a5cce1a7dxycce1a7dc9z;VA;98;2024-12-31;No anomaly detected for VIN;0
History;aaf44b173xyf44b17312z;ae058d90bxy058d90b1fz;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a98da5744xy8da574415z;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;ad0df6062xy0df60626fz;ad57647b1xy57647b176z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a779be80bxy79be80b26z;af6977d69xy6977d6985z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a75047d86xy5047d8678z;a69855bdfxy9855bdfd5z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;a9433f41dxy433f41d28z;a0c599cb3xyc599cb3a8z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;adcbc0e86xycbc0e868az;a291038cbxy91038cbd4z;PC;98;2024-12-31;No anomaly detected for VIN;0
History;a09457d10xy9457d108ez;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;a5317c515xy317c5150bz;a59b0c948xy9b0c948ffz;VA;98;2024-10-31;No anomaly detected for VIN;0
History;a8f659b1dxyf659b1d4bz;a8b6771f7xyb6771f78az;PC;98;2024-10-31;No anomaly detected for VIN;0
History;a1760b8c5xy760b8c56cz;a3ccb9822xyccb9822f9z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a1f3becd2xyf3becd2a6z;af20ab811xy20ab8118cz;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a0a7406a7xya7406a754z;af0e3182axy0e3182a9fz;PC;58;2017-01-31;No anomaly detected for VIN;0
History;acaf769afxyaf769af90z;abc128bfaxyc128bfab8z;VA;98;2024-10-31;No anomaly detected for VIN;0
History;ac82610afxy82610af85z;a3d5b9749xyd5b97496cz;VA;98;2024-10-31;No anomaly detected for VIN;0
History;a3fc01680xyfc0168085z;a84a9a04dxy4a9a04d02z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;a62b2cfc9xy2b2cfc91cz;a82ebe92axy2ebe92a74z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;acee2e631xyee2e631c2z;a77e07e29xy7e07e2979z;PC;98;2024-11-30;No anomaly detected for VIN;0
History;a05286ce3xy5286ce333z;a52540ebdxy2540ebd35z;VA;98;2024-11-30;No anomaly detected for VIN;0
History;ab98a562axy98a562a39z;acd9e0509xyd9e050994z;PC;98;2024-12-31;No anomaly detected for VIN;0
History;adb771b86xyb771b8641z;ac3a33fc5xy3a33fc532z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a34984c38xy4984c388bz;a7de48f1dxyde48f1da0z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a2d6e51acxyd6e51aca6z;a0088cb31xy088cb31bfz;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ae2cf8d9fxy2cf8d9f6cz;ab6d6d811xy6d6d81179z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a6746d38axy746d38a3cz;aa0491a69xy0491a69a7z;VA;98;2025-01-31;No anomaly detected for VIN;0
History;a9f50d758xyf50d75872z;a72faa14bxy2faa14b6fz;PC;98;2024-12-31;No anomaly detected for VIN;0
History;a515fc5b8xy15fc5b859z;a346c1311xy46c1311f1z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ac41d5078xy41d5078a1z;;PC;14;2014-08-31;No anomaly detected for VIN;0
History;aede0f80bxyde0f80b3bz;a0c140110xyc14011079z;PC;61;2020-11-30;No anomaly detected for VIN;0
History;a5426851axy426851a90z;af8946987xy8946987f2z;VA;61;2020-11-30;No anomaly detected for VIN;0
History;a6c5aecb8xyc5aecb813z;acbaadf9bxybaadf9b68z;VA;61;2020-11-30;No anomaly detected for VIN;0
History;a60f8a163xy0f8a1639fz;a79d4defbxy9d4defb3bz;PC;47;2025-04-30;No anomaly detected for VIN;0
History;a21cc35b7xy1cc35b730z;ae181d95cxy181d95c95z;PC;47;2025-01-31;No anomaly detected for VIN;0
History;a58f3eb6cxy8f3eb6cffz;a47d63343xy7d63343b6z;VA;47;2022-11-30;No anomaly detected for VIN;0
History;a6495bfdfxy495bfdf35z;a5ef3584fxyef3584fc4z;PC;58;2023-02-28;No anomaly detected for VIN;0
History;a3b3c9e5fxyb3c9e5f91z;ac2bae5f0xy2bae5f0abz;PC;58;2023-02-28;No anomaly detected for VIN;0
History;a0840ba83xy840ba8396z;ab9e5bc24xy9e5bc24daz;PC;58;2023-02-28;No anomaly detected for VIN;0
History;a77773439xy77734393ez;a440a2ed9xy40a2ed9a4z;PC;61;2020-11-30;No anomaly detected for VIN;0
History;a029fc0c3xy29fc0c3a7z;abc071c3fxyc071c3fb0z;VA;5;2020-08-31;No anomaly detected for VIN;0
History;ae26cfd1fxy26cfd1f61z;a42f5a766xy2f5a7660ez;PC;47;2025-06-30;No anomaly detected for VIN;0
History;a69906cb6xy9906cb6edz;ad3a40fb5xy3a40fb5b4z;PC;47;2022-09-30;No anomaly detected for VIN;0
History;a712d0d3fxy12d0d3f5fz;ad4710880xy47108808bz;PC;58;2023-01-31;No anomaly detected for VIN;0
History;ae66ff043xy66ff043b6z;a75390dc7xy5390dc766z;PC;47;2023-03-31;No anomaly detected for VIN;0
History;a23cc74d6xy3cc74d6d9z;a3c408c36xyc408c367ez;PC;47;2022-11-30;No anomaly detected for VIN;0
History;a9125c088xy125c088abz;a2aed3647xyaed36477bz;PC;98;2024-10-31;No anomaly detected for VIN;0
History;a1bd80ca5xybd80ca518z;ac598f9d4xy598f9d453z;PC;98;2024-12-31;No anomaly detected for VIN;0
History;a401c7d59xy01c7d59f6z;ae1be4f69xy1be4f69afz;PC;98;2024-12-31;No anomaly detected for VIN;0
History;ade27caf5xye27caf5f8z;a9637b094xy637b0943fz;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ac2da4f3fxy2da4f3fb5z;a2b9a6fcaxyb9a6fcab6z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a420d6fffxy20d6fffdbz;a8f1d6d36xyf1d6d36f2z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;ac2097523xy2097523b7z;ad0913829xy0913829ccz;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a7e001ac0xye001ac019z;;PC;14;2014-11-30;No anomaly detected for VIN;0
History;a31a1577exy1a1577e1bz;a2651bd08xy651bd084cz;PC;98;2024-11-30;No anomaly detected for VIN;0
History;a4cd63e67xycd63e67faz;a83736425xy3736425afz;PC;98;2024-12-31;No anomaly detected for VIN;0
History;acea7e803xyea7e8035az;ac1345f27xy1345f27d6z;VA;98;2024-12-31;No anomaly detected for VIN;0
History;a8a25ff68xya25ff6861z;a0d604bdexyd604bde61z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a6b3dccd3xyb3dccd318z;aa90b1161xy90b11611fz;CV;58;2017-02-28;No anomaly detected for VIN;0
History;a6f57c326xyf57c326fbz;a2dd57083xydd57083cez;PC;98;2024-11-30;No anomaly detected for VIN;0
History;ac2ae7ee2xy2ae7ee217z;a031c4ab5xy31c4ab5f7z;PC;98;2025-01-31;No anomaly detected for VIN;0
History;a5d824231xyd82423192z;;BU;14;2014-10-31;No anomaly detected for VIN;0
History;a5b6b98f9xyb6b98f967z;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;a531bb66fxy31bb66fd0z;ae1d53b55xy1d53b5505z;CV;98;2024-10-31;No anomaly detected for VIN;0
History;a54f6d168xy4f6d16819z;a1ab7f574xyab7f57482z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;a385e319bxy85e319bd8z;;PC;14;2014-10-31;No anomaly detected for VIN;0
History;a57c5995cxy7c5995c0az;a2f253a1dxyf253a1d55z;PC;98;2024-10-31;No anomaly detected for VIN;0
History;a861b8974xy61b8974c8z;a495d63b6xy95d63b671z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a080288b5xy80288b53ez;a45e69b6fxy5e69b6f07z;PC;58;2017-02-28;No anomaly detected for VIN;0
History;abe4d2b37xye4d2b370az;a2b393c7axyb393c7ab8z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;a407c682fxy07c682fe2z;a163b3610xy63b3610c3z;PC;58;2017-01-31;No anomaly detected for VIN;0
History;adbedf3c4xybedf3c433z;;PC;14;2015-01-31;No anomaly detected for VIN;0
History;a4ab83a22xyab83a220bz;;PC;14;2014-10-31;No anomaly detected for VIN;0
History;ae9a5047exy9a5047e08z;a5e5829daxye5829daeez;CV;98;2024-10-31;No anomaly detected for VIN;0
History;a62c93e28xy2c93e2825z;ade0e973cxye0e973c4cz;PC;98;2024-10-31;No anomaly detected for VIN;0
